　会社名　概要　雇用形態　初年度年収
62　株式会社ネクストアビリティ | ★新規事業メンバー／希望の案件がしっかり選べます★　【施工管理】◆売上の7割を給与に還元！最低月給58.3万円～　正社員　400万円～500万円
63　"株式会社スタッフサービス | エンジニアリング事業本部　リクルートグループ"　一生モノのスキルを【品質管理】年休125日★残業12h　正社員　400万円～700万円
64　株式会社アスパーク | 多くのエンジニアが大手メーカーの最前線で活躍中！　【エンジニア】『一人ひとりが輝ける会社』で最先端技術に挑戦！　正社員　300万円～600万円
65　株式会社セラク | 大阪府緊急雇用対策に賛同 ◇WEB面接実施中(平日夜もOK)　【ITプロジェクトリーダー】◆東証一部上場◆リモート推進(※)　正社員　300万円～700万円
66　株式会社日本制御エンジニアリング | 《業績好調》★残業少なめ ★完全週休2日制 ★月給26万円以上　【営業職】※パートナー企業との関係構築 ※20代・30代活躍中　正社員　250万円～600万円
67　株式会社ゾフ | 正社員前提(1年内の登用率84％)店長・副店長の76.5％が中途入社　『Zoff』の【店舗STAFF】★残業月10h以内★土日休みOK★高卒以上　契約社員　250万円～400万円
68　株式会社ExPlay | <エクスプレイ>■東証1部上場のグリーグループで盤石な経営基盤　【お客さま応対部門のマネージャー候補】※WEB面接可※転勤なし　正社員　300万円～500万円
69　"株式会社スタッフサービス | エンジニアリング事業本部　リクルートグループ"　【ITサポート】働きやすさ抜群・平均残業時間12時間　正社員　550万円～800万円
70　"株式会社スタッフサービス | エンジニアリング事業本部　リクルートグループ"　大手基盤・安定成長！【ITエンジニア】★残業月12h・オフも充実　正社員　330万円～800万円
71　株式会社モバイルコミュニケーションズ | リモート面接可／国家資格取得可能／転勤なし／定着率90％　★5Gで世界を変えよう！未経験入社7割！【モバイルエンジニア】　正社員　450万円～1000万円
72　株式会社夢テクノロジー | 【大阪府緊急雇用対策に賛同】年休120日以上！★未経験歓迎！　充実研修で基礎から学べる【ITエンジニア(インフラ)】残業少なめ　正社員　350万円～700万円
73　UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証1部上場グループの安定基盤】　自宅から通勤したい！そんな希望も叶う♪【倉庫内作業スタッフ】　正社員　400万円～750万円
74　アビームシステムズ株式会社 | アビームコンサルティング／ブラザー工業の共同出資会社　※開発経験者募集※【 ITエンジニア（ソフトウェア／SAP）】　正社員　300万円～500万円
75　インユニゾン株式会社 | ◆完全週休2日(土日)・残業月10H程度・20～30代活躍中　【ITエンジニア(受託開発案件)】★完全テレワーク ★決算賞与有　正社員　400万円～850万円
76　株式会社クロスブリッジ | 原則定時退社/土日休み/年休120日以上/今年の年末年始は18連休！　金融基幹システムを支える自社サービスをつくる！【リードPG】　正社員　400万円～600万円
77　MXモバイリング株式会社 | 【大手商社丸紅(株)の100％子会社】　法人向けモバイル運用・活用の【営業(自社サービス導入支援等)】　正社員　530万円～1000万円
78　アークレイ長崎開発センター株式会社 | 糖尿病検査領域において国内トップシェアを誇る医療機器メーカー　■応募〆切 2月24日(水)■モノづくりに熱中【 開発エンジニア 】　正社員　600万円～1000万円
79　ヒューマンリレーションネクスト株式会社 | ★＜年休125日以上/土日休み/残業月10h未満＞働きやすい環境★　退職金制度完備!直案件95%超!最新技術に携れる【ITエンジニア】　正社員　400万円～1000万円
80　UTエイム株式会社 | 大阪府緊急雇用対策に賛同【東証一部上場グループ】　工場内でモクモク働く【機械操作スタッフ】★月収30万円以上可能　正社員　500万円～750万円
81　キオクシア岩手株式会社 | 旧社名：東芝メモリ岩手株式会社　岩手・新製造棟勤務【技術系総合職(プロセス技術、品質保証等)】　正社員　250万円～400万円
